name,role,presence,show,num_shows
 Matthias Schiemann,Series Visual Effects by,"            matchmove artist: RISE Visual Effects Studios (8 episodes, 2021)          ",WandaVision                  (2021),35
 Matthias Winkler,Series Visual Effects by,"            lighting artist: RISE Visual Effects Studios (8 episodes, 2021)          ",WandaVision                  (2021),35
 Matthieu Chardonnet,Series Visual Effects by,"            senior effects technical director: ILM (1 episode, 2021)          ",WandaVision                  (2021),35
 Matthieu Fiorilli,Series Visual Effects by,"            creature technical director: Weta Digital (8 episodes, 2020)          ",The Umbrella Academy                  (2019– ),46
 Max Calder,Series Stunts,"            stunt actor / stunt driver (2 episodes, 2019)          ",Doom Patrol                  (2019– ),37
 Max Martini,Alistair,"1 episode, 2019                        ",Doom Patrol                  (2019– ),37
 Max Matsuoka,Series Art Department,"            props buyer (1 episode, 2017)          ",Legion                  (2017–2019),35
 Max Sweeney,Series Art Department,"            Digital Asset Manager (9 episodes, 2021)          ",WandaVision                  (2021),35
 Max Wyman,Series Editorial Department,"            second assistant editor / Second Assistant Editor (9 episodes, 2021)          ",WandaVision                  (2021),35
 Maxime Letertre,Series Visual Effects by,"            matchmove artist: Rodeo FX (5 episodes, 2021)          ",WandaVision                  (2021),35
 Maxime Savaria,Series Stunts,"            stunt performer (4 episodes, 2019)          ",The Umbrella Academy                  (2019– ),46
 Maxime St-Onge,Series Visual Effects by,"            lighting artist: Folks (1 episode, 2020)          ",The Umbrella Academy                  (2019– ),46
 Maxine Etchison,Series Costume and Wardrobe Department,"            costume assistant / costumer (15 episodes, 2019)          ",Doom Patrol                  (2019– ),37
 Maxwell Fasen,Series Art Department,"            greens foreman / Greens Foreman (1 episode, 2019)          ",Doom Patrol                  (2019– ),37
 Maya Santandrea,Series Stunts,"            stunts / stunt double: Crazy Jane / stunt double: Lucy Fugue / stunt double: Pisay Pao / stunt performer (7 episodes, 2019-2020)          ",Doom Patrol                  (2019– ),37
 Mayank Badhwar,Series Additional Crew,"            Marketing Consultant (9 episodes, 2021)          ",WandaVision                  (2021),35
 Mayes C. Rubeo,Series Costume Design by,"            (6 episodes, 2021)          ",WandaVision                  (2021),35
 Mayush Shilpakar,Series Visual Effects by,"            digital compositor (2 episodes, 2017)          ",Legion                  (2017–2019),35
 McKay Pruitt,Series Additional Crew,"            production assistant (7 episodes, 2020)          ",Doom Patrol                  (2019– ),37
 McKensie Wallesen,Series Additional Crew,"            second assistant accountant (13 episodes, 2019)          ",Doom Patrol                  (2019– ),37
 McKinsey Seungwon Ahn,Series Visual Effects by,"            Visualization Artist: The Third Floor Inc (9 episodes, 2021)          ",WandaVision                  (2021),35
 Meagan Condito,Series Visual Effects by,"            Visual Effects Producer: Encore VFX (13 episodes, 2019)          ",Doom Patrol                  (2019– ),37
 Meagen Lee,Series Art Department,            Concept Artist (3 episodes)          ,Doom Patrol                  (2019– ),37
 Meaghan F. McLaughlin,Series Second Unit Director or Assistant Director,"            second assistant director (8 episodes, 2021)          ",WandaVision                  (2021),35
 Meg Scarcella,Series Visual Effects by,"            visual effects producer (4 episodes, 2018)          ",Legion                  (2017–2019),35
 Megan Hensley,Manson Girl #3,"2 episodes, 2019                        ",Legion                  (2017–2019),35
 Megan Holmquist,Series Additional Crew,"            assistant production coordinator (10 episodes, 2018)          ",Legion                  (2017–2019),35
 Megan Lewis,Series Visual Effects by,"            digital compositor: Folks / digital compositor: Folks VFX (12 episodes, 2019-2020)          ",The Umbrella Academy                  (2019– ),46
 Megan McDonnell,Series Writing Credits,"['            (staff writer) (9 episodes, 2021)          '
 '            (written by) (9 episodes, 2021)          '
 '            (written by) (1 episode, 2021)          ']",WandaVision                  (2021),35
 Megan Soderberg,Series Art Department,            art department coordinator (uncredited) (unknown episodes)          ,Legion                  (2017–2019),35
 Meggin Penkal,Series Stunts,"            stunt double: Samantha Cormier (1 episode, 2019)          ",Legion                  (2017–2019),35
 Meghan Pangiochi,Series Visual Effects by,"            digital artist (1 episode, 2021)          ",WandaVision                  (2021),35
 Mehdi Merali,Series Stunts,            stunts (uncredited) (unknown episodes)          ,Legion                  (2017–2019),35
 Meilie Ng,Orchestra Player #2,"1 episode, 2019                        ",The Umbrella Academy                  (2019– ),46
 Melanie A. Ragone,Series Camera and Electrical Department,"            grip (4 episodes, 2019)          ",Doom Patrol                  (2019– ),37
 Melanie Aksamit,Series Special Effects by,"            special effects makeup: creative character engineering (15 episodes, 2019)          ",Doom Patrol                  (2019– ),37
 Melanie Cycz,Series Art Department,"            set decoration buyer (8 episodes, 2019)          ",Legion                  (2017–2019),35
 Melanie Ehrlich,Teen Girl,"1 episode, 2018                        ",Legion                  (2017–2019),35
 Melanie J. Newby,Lady Dannyzen,"1 episode, 2020                        ",Doom Patrol                  (2019– ),37
 Melanie Mack,Series Visual Effects by,"            matchmove artist: Method Studios (1 episode, 2019)          ",The Umbrella Academy                  (2019– ),46
 Melanie Phan,Series Stunts,"            stunt performer (1 episode, 2019)          ",The Umbrella Academy                  (2019– ),46
 Melanie Quigg,Series Makeup Department,"            makeup artist: Dailies (2 episodes, 2020)          ",The Umbrella Academy                  (2019– ),46
 Melique Berger,Series Additional Crew,            voice cast (uncredited) (unknown episodes)          ,Legion                  (2017–2019),35
 Melissa Huerta,Series Visual Effects by,"            digital artist: Zoic Studios (6 episodes, 2019)          ",Legion                  (2017–2019),35
 Melissa Jimenez Ramirez,Series Makeup Department,"['            foam fabricator: muscle suits / foam fabricator (15 episodes, 2019)          '
 '            fabrication: seaming (8 episodes, 2017)          ']","['Doom Patrol                  (2019– )'
 'Legion                  (2017–2019)']",2
 Melissa Kay Glaze,Series Costume and Wardrobe Department,"            Additional Costumer (1 episode, 2019)          ",Doom Patrol                  (2019– ),37
 Melissa Kennelly,Series Sound Department,"            foley artist (24 episodes, 2019-2020)          ",Doom Patrol                  (2019– ),37
 Melissa Kennemore,Glamorous Movie Star,unknown episodes                        ,Doom Patrol                  (2019– ),37
 Melissa Merritt,Series Art Department,"            props buyer (11 episodes, 2018)          ",Legion                  (2017–2019),35
 Melissa Murray-Mutch,Commission Board Member #4,"1 episode, 2020                        ",The Umbrella Academy                  (2019– ),46
 Melissa Spicer,Series Visual Effects by,"            visual effects department manager: Weta Digital (1 episode, 2019)          ",The Umbrella Academy                  (2019– ),46
 Melissa Vilardo,Series Camera and Electrical Department,"            digital imaging technician (2 episodes, 2019)          ",Legion                  (2017–2019),35
 Melody Oz,Teenage Girl,"1 episode, 2019                        ",The Umbrella Academy                  (2019– ),46
 Melvin Polayah,Series Visual Effects by,"            lead layout artist (1 episode, 2019)          ",The Umbrella Academy                  (2019– ),46
 Melyssa Forget Turcotte,Series Visual Effects by,"['            3d coordinator: Folks (uncredited) (unknown episodes)          '
 '            visual effects coordinator: Weta Digital (10 episodes, 2019)          ']","['Legion                  (2017–2019)'
 'The Umbrella Academy                  (2019– )']",2
 Meow Nutjaree Wannasri,Series Visual Effects by,            visual effects artist (uncredited) / visual effects compositor (uncredited) (unknown episodes)          ,Legion                  (2017–2019),35
 Meredith Coats,Series Costume and Wardrobe Department,"            key costumer (13 episodes, 2019)          ",Doom Patrol                  (2019– ),37
 Meri-Lee M.J. Helmer,Series Costume and Wardrobe Department,"            wardrobe assistant (1 episode, 2019)          ",The Umbrella Academy                  (2019– ),46
